ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
186,Lower limb ischemic preconditioning combined with dietary nitrate supplementation does not influence time-trial performance in well-trained cyclists,"We hypothesized that IPC combined with dietary NO3− supplementation would result in a cumulative rise in plasma NO2− and improve muscle oxygenation, ·

VO2 kinetics, and exercise performance compared to a control or IPC alone.",main effect,"The time-trial completion time was not different between trials (BASE 1342.8±72.3s, PLA+IPC 1350±74.5s, NIT+IPC 1346.2±83.3s, P = 0.978, Fig. 2C)",,,,,,,,,p = 0.978,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
187,"Evening electronic device use: The effects on alertness, sleep and next-day physical performance in athletes",that any observed sleep impairment would be related to poorer next-day athletic performance.,interaction effect,There were no significant differences in any next-day performance measure between the 4 conditions (Table 5).moderate effect size for SEBT on the right leg (d = 0.50) suggested that reach distance was shorter after tablet-based puzzles than tablet based reading.,,,,,,,,,not reported,standardised,no,no,no,,Yes,No,No,No,standardised,No,,,
188,Joint work is not shifted proximally after a long run in rearfoot strike runners,a long submaximal run would not lead to a distal-to-proximal shift in positive lower limb joint work in well-trained RFS runners.,difference of means,Relative positive ankle (p = 0.35; d = 0.17) work were unchanged following the long run (Figure 1A),,,p = 0.53,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
189,Optimised force-velocity training during pre-season enhances physical performance in professional rugby league players,"force-velocity optimised training resulted in a greater magnitude of improvement in 3RM squat, sprint acceleration performance, SJ height,

peak power, and reduction in FVimb.",main effect,"Changes in 3RM squat across the training programme are presented in Figure 2. There was a group effect (F(1,26) = 12.72, P = 0.001), with greater values in the OP group postintervention (95% CI [1.76, 6.56] P = 0.001, Figure 2). Pre-post effect sizes for the OP group versus the GP group were 0.47 (CI [−1.05, 0.16]) vs 0.26 (CI [−0.89, 0.36]).",,,,,,1,26,12.72,p = 0.001,standardised,yes,no,no,,Yes,Yes,Yes,Yes,standardised,Yes,,,
190,Maximalist shoes do not alter performance or joint mechanical output during the countermovement jump,"no differences in CMVJ performance would be observed between STND and MAX shoes,",difference of means,"Jump height and all temporal and vertical GRF variables were not significantly different between STND and MAX, and all associated ES magnitudes were trivial to small (p ≥ 0.191; ES ≤ 0.35; Table 2). p = 0.577, ES = 0.04",,,p = 0.577,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
192,Isometric exercise and pain in patellar tendinopathy: A randomized crossover trial,The primary hypothesis is that isometric exercise will induce greater pain reduction during a pain aggravating activity in comparison to dynamic exercises.,interaction effect,"In the ANOVA there was no significant interaction between mode of exercise and time on NRS scores of pain during SLDS (F(238) = 0.6, p = 0.561, partial 􏰂2 = 0.03; Fig. 2; Table 2).",,,,,,2,38,0.6,p = 0.561,standardised,no,clinical trial,no,,Yes,Yes,Yes,No,standardised,No,,,
193,Sex differences in the Buffalo Concussion Treadmill Test in adolescents with acute sport-related concussion,we hypothesized that concussed adolescent males and females would differ in BCTT performance and physiological responses.,difference of means,Females had signifi- cantly higher resting HR (p = 0.009) and HRt (p = 0.050) than males,,,p = 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
194,"Repeated sprints alter mechanical work done by hip and knee, but not ankle, sagittal moments","We hypothesised that mechanical work done by lower limb joint moments would decline following the repeated running protocol, particularly at the hip",main effect,"Relative to baseline, positive work done by the hip flexion joint moment during early swing (H3, MD −0.43 J/kg, 95%CI −0.69 to −0.18, p = 0.001, 􏰂p 2 = 0.266) and positive work done by the hip extension joint moment during late swing (H4, MD −0.82 J/kg, 95%CI −1.19 to −0.46, p < 0.001, 􏰂p 2 = 0.381) were sig- nificantly reduced following the repeated running protocol",,,,,,,,,p = 0.001,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
195,A passive increase in muscle temperature enhances rapid force production and neuromuscular function in healthy adults,It was hypothesised that the elevated Tc would conceal the rapid contraction force response after heat exposure.,interaction effect,Significant interaction (time vs. water immersion condition) was observed for RTDV50 (p = 0.01),,,,,,1.37,19.21,6.93,p = 0.01,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
196,Kinesiology tape length and ankle inversion proprioception at step-down landing in individuals with chronic ankle instability,"We hypothesized that: individuals with CAI may benefit from KT, and the effects may depend on the length of tape applied; while individuals without CAI may not benefit from the application of KT.",main effect,"and that there was a significant KT main effect (F = 7.489, p < 0.001), suggesting that, overall, KT significantly improved ankle inversion proprioception in landing (Table 2).",,,,,,1,28,7.489,p < 0.001,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
197,A comparison of heat acclimation by post-exercise hot water immersion and exercise in the heat,"post-exercise HWI would accelerate the speed of adaptation compared to EHA, and that the benefits of EHA beyond that of TNE would be modest.",main effect,"A two-way mixed model ANCOVA, with baseline as the covariate, detected a main effect of group for end-exercise Tre (f = 5.299, p = 0.013, Fig. 2B)",,,,,,2,23,5.299,p = 0.013,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
198,Beetroot juice supplementation increases concentric and eccentric muscle power output. Original investigation,"The purpose of the current study was to test the hypothesis that acute NO3− supplementation would enhance power output during CON and ECC contractions during a half-squat movement completed at various moment inertias,",main effect,There were significant main effects for supplement (p < 0.01),,,,,,,,,p < 0.001,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
199,Biomechanical effects following footstrike pattern modification using wearable sensors,"after the sensor-based gait retraining, runners would demonstrate a footstrike pattern transition from RFS to non-RFS in all running conditions.",main effect,"Results of the two-way repeated measures ANOVAs (Table 1) indicated that there was no interaction between gait retraining and slopes for all variables of interest (p-values ≥ 0.06), but there were significant main effects of gait retraining (p-values ≤ 0.02)",,,,,,,,,p < 0.01,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
200,Branched-chain amino acid supplementation improves cycling performance in untrained cyclists,We hypothesised that acute supplemen- tation of BCAA would improve performance and reduce central fatigue during a prolonged cycling TT with BCAA supplementation.,difference of means,Supplementation (287.9 ± 549.7 s; p = 0.04) reduced time-to-completion compared to PLA (Fig. 1; 6.7% improvement),,,p = 0.04,unstandardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,unstandardised,No,,,
201,The effect of acute and repeated ischemic preconditioning on recovery following exercise-induced muscle damage,It was hypothesised that repeated IPC would attenuate the markers of EIMD during recovery in healthy recreational males to a greater extent than acute IPC and a control group.,interaction effect,"there was an effect of time for MVIC (P < 0.05) and an interaction between time and group (F(8,80) = 2.31, P = 0.027), with higher (P < 0.05) values demonstrated in the repeated IPC group at 24-h, 48-h and 72-h (90.4 ± 7.0 %, 101.5 ± 8.4% and 103.1 ± 4.7%, respectively) compared to the sham (81.4 6.7 %, 84.4 ± 7.0% and 89.7 ± 7.1%, respectively).",,,,,,8,80,2.31,P = 0.027,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
202,Progressive hyperthermia elicits distinct responses in maximum and rapid torque production,"It was hypothesised that (1) early- and middle-phase voluntary RTD would remain unaffected by whole-body hyperthermia, likely due to the counter effects of reduced early-phase neural drive and improved electrically evoked contractile responses",main effect,"T50, T100 and T150 were unchanged in HOT (p ≥ 0.121; Fig. 2A–C), as were RTD0-50 and RTD50-100 (p > 0.99; Fig. 2D–E),",,,,,,,,,p > 0.99,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
203,"Short term heat acclimation reduces heat strain during a first, but not second, consecutive exercise-heat exposure",STHA would mitigate the cardiovascular and thermoregulatory strain during both a first and second consecutive exercise session in the heat.,Unclear,Unclear,,,,,,,,,Y,standardised,no,clinical trial,no,,Yes,Yes,No,No,standardised,No,,,
204,The effect of mental fatigue on the performance of Australian football specific skills amongst amateur athletes,"It was hypothesised that mental fatigue would impair players endurance capacity, agility, sprinting ability and AF-specific technical skills.",difference of means,Participants ran a significantly longer distance in the Yo- Yo IR1 test in the control condition than in the mentally fatigued condition.,,,p = 0.03,standardised,not reported,,,,,,,no,no,,Yes,Yes,No,No,standardised,No,,,
205,"Ankle proprioception, range of motion and drop landing ability differentiates competitive and non-competitive surfers",better ankle proprioception will be a characteristic of higher-level surfers and that ankle discrimination scores will be highly correlated with surf-specific experience attained.,difference of means,"Post hoc tests revealed FF ankle discrimination scores were significantly higher in the senior-elite group compared to the junior-elite (p=0.03, d=1.67 [1.01,2.33])",,,p = 0.03,standardised,Yes,,,,,,,no,no,,Yes,Yes,No,No,standardised,Yes,,,
206,Psychological responses to HIIT and MICT over a 2-week progressive randomized trial among individuals at risk of type 2 diabetes,"in-task affect would be less pleasurable during HIIT in comparison to MICT, but enjoyment of HIIT would be greater than MICT.",main effect,"Significant main effects of time [F(3, 276) = 24.93, p < .001, η2 = .213] and group [F(1, 92) = 11.76, p = .001, η2 = .113] were observed, with participants in MICT reporting higher affective attitudes than those in HIIT throughout the intervention.",,,,,,1,92,11.76,p = 0.001,standardised,no,clinical trial,no,,Yes,Yes,Yes,Yes,standardised,No,,,
207,"Cognitive effects of acute aerobic exercise: Exploring the influence of exercise duration, exhaustion, task complexity and expectancies in endurance-trained individuals","(1) short (i.e. 15 min) and longer (i.e. 45 min) duration moderate-intensity exercise would improve simple and complex

cognitive abilities;",interaction effect,unclear,,,,,,Y,Y,Y,Y,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
208,High vibration frequency of soft tissue occurs during gait in power-trained athletes,"(1) The lower extremity soft tissue compartment (rectus femoris, RF and gastrocnemius

medialis, GMS) vibration frequencies acquired from

power-trained athletes are significantly higher than those

acquired from non-power-trained athletes.",main effect,"The main effects for the group factor in the RF (F0.95(1,22) = 63.357, p < 0.001, η2 = 0.687, power = 0.999)",,,,,,1,22,63.357,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
209,Blood oxidative stress and post-exercise recovery are unaffected byhypobaric and hypoxic environments,We hypothesized that both hypoxic and hypobaric conditions would result in a blunting of the oxidative stress response during the post-exercise recovery period.,interaction effect,"Analysis of LOOH findings indicated a main effect of trial (p = 0.005) and time (p = 0.019); however, no trial x time interaction was observed (p = 0.064). At 2-HR, LOOH was significantly higher than the POST time point (p = 0.011). It is plausible that the observed main effect was not caused by the environmental conditions considering the values were also elevated at PRE, before exercise and any environmental condition was introduced.",,,,,,,,,p = 0.064,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
210,Effects of Nordic hamstring exercise combined with glider exercise on hip flexion flexibility and hamstring passive stiffness,"Based on the findings of previous studies, we postulated that isoinertial eccentric training at long muscle length would increase maximal ROM and reduce passive resistive torque.",interaction effect,"A significant interaction (time × group) effect was found for maximal passive ROM (F = 34.32, p < 0.001). Post-hoc testing revealed a significant increase in the intervention group for maximal passive ROM (11.2%; p < 0.001; d = 1.55), while no significant changes were observed in the control group (p = 0.46; d = 0.19).",,,,,,1,32,34.32,p < 0.001,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
211,The effects of Ramadan intermittent fasting on sleep-wake behaviour and daytime sleepiness in team sport referees,"Ramadan fasting would negatively affect sleep duration and quality, and would increase daytime sleepiness in Muslim referees.",difference of means,The values during Ramadan were significantly higher compared with before Ramadan (p < 0.001). ES (biserial correlation) = 0.56. Wilcoxon statistic = 545,78,W = 545,p < 0.001,both types are reported,not reported,,,,,,,no,no,,Yes,Yes,Yes,No,Both,No,,,
212,Attenuation of stress-induced cardiovascular reactivity following high-intensity interval exercise in untrained males,"a single session of HIIE is effective at lowering cardiovascular reactivity in response

to a stress challenge, and that the magnitude of the lowering effect is greater than that produced by moderate-intensity exercise.",main effect,"Univariate ANCOVA ( ling for pre-CPT values) indicated that there were significant effects of experimental conditions on SBP (F(3, 35) = 5.61, p = 0.008, η2 = 0.24), Post-hoc analyses revealed that ing HIIE resulted in lower SBP (p = 0.009), DBP (p = 0.010) and MAP (p = 0.014) responses during CPT compared to CON. SBP responses during CPT were also lower in MIE (p = 0.044) pared to CON.",,,,,,3,35,5.61,p = 0.008,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
213,"No Influence of Low-, Medium-, or High-Dose Tyrosine on Exercise in a Warm Environment","a tyrosine dose similar to that used in the majority of previous exercise studies (defined as a low dose for the purpose of this study) (11–15) would not influence, but that a medium or high dose would enhance cycling performance in in a warm environment,

compared with a placebo containing no tyrosine.",main effect,The time trial performance relative to PLA was unaffected by tyrosine ingestion (P = 0.579).,,,,,,,,,p = 0.579,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
214,Accelerated Muscle Recovery in Baseball Pitchers Using Phase Change Material Cooling,"PCM cooling would accelerate recovery of muscle function (15,16).",interaction effect,(treatment–time P = 0.007; Fig. 2),,,,,,,,,p = 0.007,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
215,Bicarbonate Unlocks the Ergogenic Action of KetoneMonoester Intake in Endurance Exercise,the prevention of KE-induced acidosis by concomitant oral bicarbonate (NaHCO3) ingestion may unlock the ergogenic potential of KE.,interaction effect,"A KE–BIC interaction effect was detected for mean power output during TT15′ (P = 0.04, η2 = 0.44; Fig. 5A). Post hoc analyses indicated that mean power output during TT15′ was similar (~254W) for KE and BIC compared with CON (both P > 0.99). Conversely, mean power output in KE + BIC was 5% (+12 W) higher than in CON (95% CI = +2 to +22 W, d = 0.93, P = 0.02) and KE (95% CI = +0 to +23 W, d = 0.77, P = 0.049) and tended to be 5% higher comparedwith BIC (95% CI = −3 to+31W, d=1.01, P = 0.11; Fig. 5B).",,,,,,,,,p = 0.04,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
216,Can Creatine Combat the Mental Fatigue–associated Decrease in Visuomotor Skills?,a 7-d creatine supplementation protocol would postpone the occurrence of MF and improve sport-specific psychomotor skills in a mentally fatigued state.,main effect,No effect of the creatine supplementation was observed on visuomotor RT,,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
217,Dynamic Changes of Performance Fatigability and Muscular O2 Saturation in a 4-km Cycling Time Trial,"performance fatigability etiology would display a similar time course as that observed in our previous study (4), but with an exacerbated amplitude because

of the minimal time delay between exercise cessation and the

performance fatigability etiology measurements",interaction effect,"The comparison between familiarization and ES conditions for performance fatigability variables only showed a main effect of time for IMVC (η2p = 0.823), VA (η2p = 0.611), Db100 (η2p = 0.895), Db10:100 (η2p = 0.891), and TwPt (η2p = 0.890) (all P < 0.001) but no main effect of condition nor interaction (P > 0.05).",,,,,,,,,p > 0.05,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
218,Effects of 8 wk of 16:8 Time-restricted Eating in Male Middle- and Long-Distance Runners,"Stated as a null hypothesis, we hypothesized that 8 wk of 16:8 TRE would have no effect on either the primary outcome measure, that being body mass, or the aforementioned secondary outcome measures.",main effect,"After adjustment for values in the respective parameters at PRE, body mass in TRE was significantly lower at POST compared with CON (mean difference of −1.92, 95% confidence interval [CI] = −3.52 to −0.32 kg, P = 0.022, ηp 2 = 0.321) (Fig. 3).",,,,,,,,,p = 0.022,both types are reported,"yes, only for unstandadrdised",no,no,,Yes,Yes,No,No,Both,"yes, only for the unstandardised",,,
219,Effects of the Turbine™ on Ventilatory and Sensory Responses to Incremental Cycling,Turbine™ would modestly reduce the WOB at rest and low exercise intensities but would have no effect on the WOB at moderate to high intensities because of the shift to predominantly oral breathing.,interaction effect,no interaction effect and no main effect of condition on the WOBTot or WOB Ires during exercise,,,,,,,,,not reported,not reported,no,no,no,,Yes,No,No,No,No,No,,,
220,Ischemic Preconditioning Blunts Loss of Knee Extensor Torque Complexity with Fatigue,"We hypothesized that IPC would increase time to task failure and attenuate the rate

of the fatigue-induced reduction in muscle torque complexity,

quantified by a slower rate of decrease in ApEn and a slower

rate of increase in the DFA α scaling exponent.",unclear,IPC significantly increased time to task failure by 7.4 ± 3.2 min (95% CI = 0.1–14.7 min) or by 43% ± 13% (Table 2),,,,,,,,Y,Y,not reported,"yes, only for unstandadrdised",no,no,,Yes,Yes,Yes,No,No,"yes, only for the unstandardised",,,
221,"Relative Effort while Walking Is Higher among Women Who Are Obese, and Older Women","relative effort would be higher among women who were obese compared with healthyweight women,",main effect,peak relative effort among women who were obese was 23% higher in knee extension p = 0.028 (table 2),,,,,,,,,p = 0.028,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
223,Skeletal Effects of Nine Months of Physical Activity in Obese and Healthy Weight Children,"We hypothesized that obese/overweight children have lower BMAD for their weight, and that PA training increases BMAD in both groups relative to nonexercise controls.",main effect,"Over a period of 9 months, the change in BMAD (difference of posttrial and pretrial values) shows a significant increase in leg (P < 0.001)",,,,,,,,,p < 0.001,not reported,no,clinical trial,no,,Yes,Yes,No,No,No,No,,,
225,The Effect of Preexercise Expiratory Muscle Loading on Exercise Tolerance in Healthy Men,"We hypothesized that acute submaximal expiratory threshold loading at 40% of maximal expiratory gastric pressure (PgaMAX) would enhance expiratory muscle function and improve subsequent exercise tolerance primarily through a reduction in the perception of dyspnea and/or a reduction in the severity

of exercise-induced expiratory muscle fatigue.",difference of means,"group mean TLIM was not different in EML-EX versus SHAM-EX (7.91 ± 1.96 vs 8.09 ± 1.77 min, 95% CI = −1.02 to 0.67, P = 0.651).",,,p = 0.651,not reported,"yes, only for the unstandardised",,,,,,,no,no,,Yes,Yes,No,No,No,"yes, only for the unstandardised",,,
226,The Effects of Transcranial Direct Current Stimulation on Chronic Ankle Instability,"We hypothesized that although eccentric training would contribute to improvements across all participants, the individuals receiving aTDCS could demonstrate earlier, greater, and more durable improvements in outcome variables",interaction effect,"There was a significant time–group interaction effect for DPSI ( F [3,60] = 2.952; P = 0.040; η 2 p = 0.129)",,,,,,3,60,2.952,P = 0.040,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
228,The effects of acute resistance exercise on young and older males' working memory*,We hypothesized that working memory performance can be facilitated by acute bouts of moderate intensity RE.,interaction effect,"the interaction of Treatment by Time (F(1,19) = 21.59, p < .001, partial n2 = 0.53) were also significant",,,,,,1,19,21.59,p <0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
229,The influence of transcranial direct current stimulation on pain affect and endurance exercise,"it was hypothesised that active tDCS with the anodal electrode placed over the left DLPFC would reduce ratings of exercise induced pain unpleasantness, but not pain intensity, and enhance muscular endurance time when compared to a placebo control.",difference of means,The analysis revealed no significant difference in TTE between active (173.30 ± 56.68 s) and sham (182.17 ± 74.77 s) tDCS conditions; t(22)=−0.773 p=.448.,22,0.773,p = 0.448,not reported,not reported,,,,,,,no,yes,yes,Yes,Yes,Yes,Yes,No,No,,,
230,Effects of visualized PETTLEP imagery on the basketball 3-point shot: A comparison of internal and external perspectives,"intermediate skill basketball players would benefit from visualized PETTLEP imagery after training with both internal and external imagery. Further, because intermediate skill basketball players have experience in the 3-point shot we hypothesized

that the internal PETTLEP imagery group would perform better

than the external imagery group.",interaction effect,"The 2 by 2 mixed design ANOVA analyses showed a significant group × time interaction on 3-point shot scores, F (2, 46) = 7.90, p = .001, η2 = 0.256, as Table 1 and Fig. 2 illustrate.",,,,,,2,46,7.9,p = 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
231,The effects of mindfulness training on beginners' skill acquisition in dart throwing: A randomized controlled trial,"mindfulness, experiential acceptance, flow, and dart throwing performance in the mindfulness training group would be significantly higher than the attention control group immediately-after and two-weeks after the intervention",interaction effect,"Repeated measure ANOVA of dart throwing performance revealed a significant time by group interaction effect of the, F (2, 40) = 6.83, p = 0.003, n2 = 0 .26",,,,,,2,40,6.83,p = 0.003,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
232,Prior self-control exertion and perceptions of pain during a physically demanding task,"engaging in a cognitively demanding task previously shown to require self-control (i.e., an incongruent Stroop task) would result in poorer performance (hypothesis

1)",main effect,"The results revealed that there was a significant main effect for experimental trial on wall sit performance (F(1,60) = 7.62, p = 0.01, r = 0 .78).",,,,,,1,60,7.62,p = 0.01,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
233,Higher power of sensorimotor rhythm is associated with better performance in skilled air-pistol shooters,"Based on previous findings, we expected that lower activation of the sensorimotor cortex, as reflected by higher SMR power, would be associated with better performance.",interaction effect,"Two-way ANOVA with the factors of performance (2) and time window (3) revealed a significant interaction effect, F(2, 46) = 3.224, p = 0.049, np2 =  0.123.",,,,,,2,46,3.224,p = 0.049,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
234,"Worksite intervention effects on motivation, physical activity, and health: A cluster randomized controlled trial","a need-supportive group-based PA intervention (relative to a standard control condition) would lead to increases in regular PA and CRF, as well as improvements in biomedical outcome variables related to health (i.e., reduced systolic and diastolic BP, waist circumference, increased HDL-C, and lower non- HDL-C levels).",interaction effect,"Treatment x time effect F 18.14, p = 0.000, d = 0.49",,,,,,1,141,18.14,P = 0.000,standardised,no,clinical trial,no,,Yes,Yes,Yes,No,standardised,No,,,
235,"The effects of facial expression and relaxation cues on movement economy, physiological, and perceptual responses during running","RE would be improved (i.e., lower VO2) and heart rate reduced during smiling in comparison with frowning and control.",main effect,"RM-ANOVA revealed a difference in VO2 between conditions, F (3, 69) = 5.88, p  = 0.001. Mean VO2 (Table 2 and Fig. 1) was lower during smiling than frowning (Mean difference, [MD] ¼ 0.94 ml/ min/kg, p ¼ 0.006, d¼0.23) and control (MD¼0.76 ml/min/kg, p ¼ 0.040, d ¼ 0.19).",,,,,,3,69,5.88,p = 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
236,The effects of competitiveness and challenge level on virtual reality rowing performance,"participants high in competitiveness were expected to row more metres, show higher power output, and exert greater physiological effort than those low in competitiveness",interaction effect,"A significant main effect of epoch was found for all performance measures, all Fs > 9.56, all ps < .001, all ηp 2 > .13, showing a general decline in performance across time before stabilising in the last 3 min. However, the trend across epochs differed across challenge level groups, as reflected in a significant challenge level×epoch interaction for distance, F (2, 153)=5.07, p=.004, ηp 2=.08,",,,,,,2,153,5.07,p = 0.004,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
237,Enhancing performance expectancies through positive comparative feedback facilitates the learning of basketball free throw in children,positive comparative feedback group would demonstrate higher learning of the task than the control group.,main effect,"Punctuation scores were significantly higher for the PF group compared with the control group on the transfer test, F (1, 24)=4.86, p=.037, ηp 2=0.168 (Fig. 1)",,,,,,1,24,4.86,p = 0.037,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
238,Heart rate biofeedback attenuates effects of mental fatigue on exercise performance,"receiving HR biofeedback would attenuate declines in performance such that when people were mentally-fatigued, they would exercise at the same intensity and perform the same amount of work as when not mentally fatigued.",unclear,"Results revealed significant main effects for Cognitive Control, F (1, 35)=11.21 p=.002, ηp 2=0.24, Biofeedback, F (1, 35)=9.96, p=.003, ηp 2=0.22, and a significant interaction, F (1, 35)=5.23, p=.028, ηp 2=0.13. Decomposition of the interaction using post-hoc planned contrasts (Bonferroni) between each condition revealed significantly lower total work in the HCC/no feedback condition compared to both LCC conditions (ps≤.002) and the HCC/biofeedback condition (p=.004). However, there were no differences between any of the LCC/no feedback, LCC/biofeedback and HCC/biofeedback conditions (ps > .99).",,,,,,Y,Y,Y,Y,both types are reported,no,no,no,,Yes,Yes,Yes,Yes,Both,No,,,
239,Intensity and workload related dose-response effects of acute resistance exercise on domain-specific cognitive function and affective response – A four-armed randomized controlled crossover trial,exercise intensity and workload are related to the effect on lower or higher cognitive function,main effect,Repeated measures ANCOVAs revealed no effects of exercise re- gimes on post to pre changes of Stroop I (F(3)=0.936; p=0.428; η2p=0.039),,,,,,3,24,0.936,p = 0.428,standardised,no,no,no,,Yes,Yes,Yes,No,standardised,No,,,
240,"Primed to perform: Comparing different pre-performance routine interventions to improve accuracy in closed, self-paced motor tasks","We hypothesized that the intervention groups would perform better than the control group, with the combined group showing the best performance.",difference of means,"Subsequent simple main effects analysis indicated no group differences pretest, F(3, 42 = 1.28, p = .29, ηp2 = 0.08, a significant group difference in the first posttest, F(3, 42) = 3.45, p = .025, ηp2 = 0.20, and no group differences in the second posttest, F(3, 42) = 0.97, p = .42, ηp2 = 0.07. Contrast-coded analysis (−1, −1, −1, +3, for the three intervention groups and the control group, respectively) in the first posttest was significant, corrected t(15.66) = 2.18, p = .045, indicating that participants in the intervention groups outperformed control participants.",15.66,2.18,p = 0.045,standardised,not reported,,,,,,,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
241,The acute effects of analogy and explicit instruction on movement and performance,"reduced accuracy, greater joint angle variability, slower angular velocity, and longer throw times would suggest more active manipulation of the instructions in working memory in line with Fitts

and Posner’s three-stage cognitive framework for motor learning (1967) and associated models of choking, such as Masters’ (1992) conscious processing hypothesis.",main effect,"A two-way repeated-measures analysis of variance (ANOVA) did not reveal a significant main effect of instruction type on accuracy, F(1, 19)=0.421, p=.524, ƞ2p =.02,",,,,,,1,19,0.421,p = 0.524,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
242,Effect of exposure time to smartphone apps on passing decision-making in male soccer athletes,higher exposure time to smartphone applications leads to higher impairment in passing decision making in professional soccer athletes.,main effect,"Effect of exposure time to smartphone F = 30.5 p = 0.001, h2 = 0.7",,,,,,3,57,30.5,p = 0.001,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
243,Mental fatigue impairs visuomotor response time in badminton players and controls,We hypothesized that mental fatigue would negatively affect performance on the visuomotor task in controls,interaction effect,"an interaction between the effects of condition and time was present (condition x time; F(1,19) = 10.0; p = 0.005)",,,,,,1,19,10,p = 0.005,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
244,Approach-achievement goals and motivational context on psychophysiological functioning and performance among novice basketball players,"1) pursuit of an OAp, relative to SAp and TAp goals, would lead to significantly reduced (1a) physiological functioning (e.g., higher HR & BP recordings)",interaction effect,"There were also significant two-way effects between context and time on HR, F (3, 324)=8.88, p < .001, η2=0.16",,,,,,3,324,8.88,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
245,The effect of unilateral hand contractions on psychophysiological activity during motor performance: Evidence of verbal-analytical engagement,"we predicted that unilateral hand contractions would influence verbal-analytical engagement (i.e., inferred by changes in T7-Fz connectivity) during movement planning. Specifically, we predicted that the left-hand contractions would lower verbal analytical engagement during motor planning compared to right-hand and no-hand contractions, and that right-hand contractions would raise verbal-analytical engagement in motor planning compared to left-hand and no-hand contractions.",main effect,"The results revealed a main effect of Condition, F(2,48) = 122.5, p < .001, ηp 2 = 0.84. Post-hoc tests revealed that left-hand contractions led to significantly lower T7-Fz connectivity, than right-hand contractions (p < .001) or no-hand contractions (p < .001,",,,,,,2,48,122.5,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
246,Specific internal and external attentional focus instructions have differential effects on rowing performance,"a focus on proximal external cues (i.e., focusing on the movement and exerted

force on the handle) would result in increased physical effort than a focus on distal external cues (i.e., sounds of the ergometer, movement of the seat).",interaction effect,"an attentional focus × epoch interaction, F(11, 704) = 4.85, ε = 0.45, p < .001, ηp 2 = 0.07.",,,,,,11,704,4.85,p < 0.001,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
